"county_index","target_cancer","AGE65","BROAD","CROWD","HCOST","NOHSDP","POV150","REMNRTY","SNGPNT","UNEMP","No_Vehicle_10_Miles","No_Vehicle_1_Mile","No_Vehicle_Half_Mile"
"21141","6.4","18.4","24.4","1.6","21","12.5","27.6","11.8","6.3","5.4","0.417365381032234","2.1278181479411216","2.627166014533259"
"21235","6.4","15.6","25.6","4.1","22","17.5","36.2","4.3","5.1","6.6","0.05892751915144372","1.3525268681426608","2.0428206639167157"
"48371","5.1","12.6","27","3.1","21.9","25","32.4","75.8","8.4","1.3","0.0838331076288128","0.651318759270007","1.0253433933062488"
"37159","6.2","17.4","14.7","2.6","23.3","13.1","27.5","29.1","7.5","7.1","0","1.000520125986072","1.683907879908689"
"25019","6.3","15.7","8.7","1.6","26.4","3.8","10.5","28.3","1.6","8","0","0.48171451042076285","1.2485253637436098"
"36055","6.4","17.4","12.6","1.4","28.3","8.9","20.9","30.2","7.6","5.3","0","0.8998527562524854","2.6976774179680363"
"18055","6.4","19.2","23","3.6","20.8","11.6","23.2","4.2","4.8","6","0.09045680687471733","0.9709030604552993","1.3839891451831752"
"20183","6.5","27.4","15.1","0.7","18.4","3.8","17.1","6","4.2","2.5","0.28549182455229694","0.5190760446405399","1.2717363093693226"
"48337","6.3","21.3","23.5","1.3","20.8","13.5","22.1","14.9","6.2","7","0.08114001724225367","0.3651300775901415","0.9787514579846848"
"29029","6.4","28.1","20","1.5","22.7","8.6","20.9","6.6","3.5","5.1","0.215899277305577","1.2158538248261443","1.3931184946138813"
